SiteName	Long	Lat	SweepDate
Lower Woodland Skate Park, Seattle	-122.3320708	47.6062095	11/3/2015
Under I-5 @ S Dearborn St (Sidewalk), Seattle	-122.3320708	47.6062095	11/12/2015
Ballard Commons Park, Seattle	-122.3855052	47.6706355	11/12/2015
22nd Ave S and S Hill St	-122.3042502	47.5845098	11/16/2015
2000 NW 57th St (Sidewalk)	-122.3320708	47.6062095	11/16/2015
2005 NW 57th St (Sidewalk)	-122.3320708	47.6062095	11/16/2015
3rd Ave NW @ NW 39th Ave	-122.3608278	47.6541537	11/16/2015
954 E Union St	-122.3197318	47.6132625	11/17/2015
15th Ave NW at NW 46th St (under Ballard Bridge)	-122.3761447	47.6578901	11/17/2015
5700 block 37th Pl NW	-122.4050451	47.6719815	11/17/2015
2826 NW Market St	-122.3948555	47.66855	11/17/2015
Seaview Ave NW & 37th Pl NW	-122.4052316	47.6791729	11/17/2015
Denny Way and Broad St Triangle	-122.3320708	47.6062095	11/18/2015
Alaskan Way Viaduct & Pike St	-122.3376263	47.5894187	11/18/2015
2nd Ave S near S Main St	-122.3146427	47.600017	11/18/2015
10722 Stone Ave N & N 107th St  (Alley)	-122.341576	47.70755	11/18/2015
307 Broad St	-122.3503097	47.6182824	11/18/2015
Woodland Park south of Off Leash area	-122.3444762	47.6701819	11/18/2015
Licton Springs Park (North End)	-122.3045446	47.6699473	11/18/2015
Lower Woodland Skate Park, Seattle	-122.3320708	47.6062095	11/3/2015
Under I-5 @ S Dearborn St (Sidewalk), Seattle	-122.3320708	47.6062095	11/12/2015
Ballard Commons Park, Seattle	-122.3855052	47.6706355	11/12/2015
22nd Ave S and S Hill St	-122.3042502	47.5845098	11/16/2015
2000 NW 57th St (Sidewalk)	-122.3320708	47.6062095	11/16/2015
2005 NW 57th St (Sidewalk)	-122.3320708	47.6062095	11/16/2015
3rd Ave NW @ NW 39th Ave	-122.3608278	47.6541537	11/16/2015
954 E Union St	-122.3197318	47.6132625	11/17/2015
15th Ave NW at NW 46th St (under Ballard Bridge)	-122.3761447	47.6578901	11/17/2015
5700 block 37th Pl NW	-122.4050451	47.6719815	11/17/2015
2826 NW Market St	-122.3948555	47.66855	11/17/2015
Seaview Ave NW & 37th Pl NW	-122.4052316	47.6791729	11/17/2015
Denny Way and Broad St Triangle	-122.3320708	47.6062095	11/18/2015
Alaskan Way Viaduct & Pike St	-122.3376263	47.5894187	11/18/2015
2nd Ave S near S Main St	-122.3146427	47.600017	11/18/2015
10722 Stone Ave N & N 107th St  (Alley)	-122.341576	47.70755	11/18/2015
307 Broad St	-122.3503097	47.6182824	11/18/2015
Woodland Park south of Off Leash area	-122.3444762	47.6701819	11/18/2015
Licton Springs Park (North End)	-122.3045446	47.6699473	11/18/2015
Airport Way S & S Stacy (Under I-5)	-122.3148113	47.5481439	11/19/2015
6th Ave &  James St	-122.330156	47.60625	11/19/2015
Golden Gardens Stairway from NW 32nd Ave	-122.3984045	47.6823517	11/20/2015
NW 54th St & 32nd Ave NW	-122.378895	47.6679045	11/20/2015
Denny Park	-122.340936	47.619053	11/23/2015
6th Ave &  James St	-122.330156	47.60625	11/23/2015
Burke Gilman Trail @ Seaview Ave NW & NW 61st St	-122.4026302	47.6877822	11/24/2015
6300 SEAVIEW AVE NW	-122.4060338	47.6744841	11/24/2015
6826 SEAVIEW AVE NW	-122.4059139	47.6780016	11/24/2015
NW 54th St & 32nd Ave NW	-122.378895	47.6679045	11/24/2015
Shilshole Ave NW & NW 46th St	-122.3818823	47.6640653	11/26/2015
14th Ave NW @ NW 46th St	-122.3735383	47.6622006	11/26/2015
Hillside by I-5 North on ramp/Melrose Ave	-122.3279002	47.6167238	11/30/2015
SW Admiral Way & SW City View St (Greenspace)	-122.3940471	47.579446	11/30/2015
4455 Shilshole Ave NW	-122.3752356	47.6610517	12/1/2015
NW 45th St & Shilshole Ave NW	-122.3671315	47.6614676	12/1/2015
4259 8th Ave NW & Burke Gilman trail	-122.367122	47.658893	12/1/2015
NW 45th Ave & 14th Ave NW	-122.3671315	47.6614676	12/1/2015
6th Ave & Yesler Way under the overpass	-122.330156	47.60625	12/2/2015
I-90 on ramp @ Rainier Ave So & Atlantic	-122.2744975	47.544847	12/3/2015
Under I-90 Sidewalks Rainier Ave S	-122.2744975	47.544847	12/3/2015
Gasworks Park	-122.3343532	47.6456308	12/4/2015
Woodland Park	-122.3443407	47.6684427	12/4/2015
7757 E GREEN LAKE DR N	-122.3315638	47.6825676	12/4/2015
4th Ave under Yesler overpass	-122.3287781	47.6017227	12/7/2015
4th Ave South Under Yesler Way	-122.3287781	47.6017227	12/7/2015
Bitter Lake Park	-122.3320708	47.6062095	12/8/2015
12341 35TH AVE NE	-122.291636	47.718537	12/9/2015
Rainier Ave South  Off Ramp	-122.3320708	47.6062095	12/9/2015
Pioneer Square Park	-122.333886	47.6020338	12/9/2015
Licton Springs Park (North End)	-122.3045446	47.6699473	12/9/2015
Greenlake - 7098 Aurora Ave N	-122.3450866	47.680295	12/9/2015
6349 W GREEN LAKE WAY N	-122.3460683	47.674538	12/9/2015
7661 E GREEN LAKE DR N	-122.3315638	47.6825676	12/9/2015
Victory Creek Park	-122.3163719	47.7085415	12/9/2015
Greenlake - 7098 Aurora Ave N	-122.3450866	47.680295	12/9/2015
S King St - KC Substation	-122.3320708	47.6062095	12/10/2015
1300 University St	-122.3246751	47.6127096	12/11/2015
10501 Aurora Ave N (Corner of Building)	-122.3451127	47.7052673	12/11/2015
1475 NW 85th St (Zamarama Gallery)	-122.3320708	47.6062095	12/11/2015
Burke Gilman Trail along the Canal Park	-122.3320708	47.6062095	12/11/2015
NE Queen Anne greenbelt - billboard site	-122.3320708	47.6062095	12/14/2015
Kobe Terrace Park	-122.3250494	47.60004	12/14/2015
I-5 On/Off Ramps at 10th Ave S & S Dearborn St	-122.3203745	47.5749295	12/14/2015
NE Queen Anne greenbelt - billboard site	-122.3320708	47.6062095	12/14/2015
SW Queen Anne Greenbelt - Sections 1, 2, 3 & 4	-122.3320708	47.6062095	12/15/2015
Baker Park	-122.2886379	47.5809164	12/15/2015
Alaskan Way S & Jackson St	-122.3381826	47.6038856	12/15/2015
521 1st Ave N (Closed business)	-122.3320708	47.6062095	12/15/2015
I-5 NB offramp at NE 65th St and Ravenna Blvd	-122.3158493	47.6718995	12/16/2015
Under I-5 @ S Jackson St	-122.3359179	47.5991945	12/16/2015
I-5 NB offramp at NE 65th St and Ravenna Blvd	-122.3158493	47.6718995	12/16/2015
1300 block Lakeview Blvd E	-122.323865	47.630974	12/17/2015
Canal Park	-122.3573353	47.6516632	12/17/2015
Thornton Creek King Fisher Natural Area 2	-122.3100261	47.7040267	12/17/2015
Hillside above 1950 Alaskan Way - Waterfront Landings Condos	-122.3320708	47.6062095	12/18/2015
Thornton Creek (near and under 35th Ave NE Bridge)	-122.3320708	47.6062095	12/19/2015
4th Ave S & I-90 off ramp	-122.328988	47.6016393	12/20/2015
I-5 NB onramp at Denny Way	-122.343501	47.618564	12/21/2015
I-5 overpass at Pine Street	-122.3364918	47.611662	12/21/2015
Under I-5 at Eastlake Ave E & Harrison St	-122.3254194	47.6354033	12/21/2015
Thornton Creek King Fisher Natural Area 2	-122.3100261	47.7040267	12/21/2015
Western Ave at NB 99 onramp	-122.3320708	47.6062095	12/21/2015
Green Lake  Park	-122.341132	47.68157	12/21/2015
15th Avenue NE & NE 107th St Under Bridge	-122.31243	47.706123	12/22/2015
3612 LEARY WAY NW	-122.3593716	47.6537578	12/22/2015
400 Broadway E (Doorway)	-122.3320708	47.6062095	12/22/2015
3678 Leary Way (Vacant Building)	-122.3320708	47.6062095	12/22/2015
I-5 Ramp and Union St	-122.3340962	47.6099218	12/28/2015
2nd Ave & Denny Way	-122.341328	47.6114981	12/28/2015
34th Ave NW & NW 54th St (near railroad tracks)	-122.4010342	47.6765217	12/31/2015
4500 Linden Ave N	-122.348271	47.6615279	12/31/2015
1st Ave So (Under on ramp to W. Seattle Bridge @ Spokane )	-122.3320708	47.6062095	1/4/2016
Gillman Ave W &  W Jamison St	-122.3870945	47.6563972	1/4/2016
Woodland Park	-122.3443407	47.6684427	1/5/2016
Woodland Park south of Off Leash area	-122.3444762	47.6701819	1/5/2016
I-5 NB Offramp at 7th Ave NE	-122.3207532	47.6647924	1/6/2016
4048 Pasadena PL NE	-122.3218583	47.6565544	1/6/2016
Under I-5 Off-Ramp @ Pasadena & NE 42nd	-122.3320708	47.6062095	1/6/2016
NE 40th St ROW between Latona Ave NE and 7th Ave NE	-122.3207532	47.6647924	1/6/2016
I-5 NB Offramp at NE 50th Street	-122.2956376	47.664887	1/7/2016
I-5 NE 47th St NB On-Ramp (grassy area)	-122.3320708	47.6062095	1/7/2016
I-5 on-ramp NB at NE 50th Street	-122.2956376	47.664887	1/7/2016
I-5 SB James St off ramp	-122.3320708	47.6062095	1/11/2016
Under I-5 @ on So King St.	-122.3115737	47.5983289	1/11/2016
6th Ave &  James St	-122.330156	47.60625	1/11/2016
Green Lake  Park	-122.341132	47.68157	1/11/2016
7th Ave & Cherry St	-122.3276034	47.6053328	1/11/2016
Metro bench - NE corner of Dexter Ave & Denny Way	-122.3423982	47.6181903	1/12/2016
Seaview Ave NW & 37th Pl NW	-122.4052316	47.6791729	1/12/2016
WB I-90 to SB I5	-122.3320708	47.6062095	1/13/2016
37th Pl NW & Seaview Ave NW	-122.4041054	47.6705621	1/13/2016
Behind Home Depot & Putz Golf Course	-122.3320708	47.6062095	1/15/2016
Burke-Gilman Trail & NW 40th St	-122.2782073	47.6955596	1/19/2016
Harvard Ave E & E Roy St	-122.3224847	47.6360247	1/19/2016
14th Ave NW @ NW 46th St	-122.3735383	47.6622006	1/19/2016
Rainier Ave South  Off Ramp	-122.3320708	47.6062095	1/20/2016
Green Lake	-122.3279676	47.6809842	1/20/2016
Poplar Place South/South Dean Street	-122.31286	47.5953565	1/21/2016
Longfellow Creek	-122.3671944	47.566203	1/25/2016
Alaskan Way S / S Brougham Way	-122.3289415	47.5924037	1/27/2016
4th Ave S and Edgar Martinez Drive So.	-122.3212761	47.5976409	1/27/2016
I-5 Colonnade Park	-122.3320708	47.6062095	1/28/2016
Airport Way S & S Royal Brougham Way	-122.3148113	47.5481439	1/28/2016
Carkeek Park off Pipers Creek Trail	-122.3706769	47.7105974	1/28/2016
Victory Creek Park	-122.3163719	47.7085415	1/29/2016
Gasworks Park	-122.3343532	47.6456308	1/29/2016
950 S King St	-122.3199752	47.5983601	2/1/2016
8th Ave S & S Jackson St (sidewalks)	-122.322591	47.5732864	2/1/2016
Lakeview Blvd E & E Belmont Planting strip	-122.3243919	47.6308733	2/1/2016
Gilman Ave W & W Fort St (Near Railroad tracks)	-122.3870945	47.6563972	2/1/2016
5th Ave NE & NE 55th St (at sound barrier wall)	-122.3231413	47.702651	2/1/2016
Wallingford Playfield	-122.3376364	47.6584744	2/1/2016
Parking lot at 10th Ave E & E Garfield St	-122.320064	47.632739	2/1/2016
5th Ave NE & NE 54th St	-122.3231413	47.702651	2/1/2016
8th Ave S & S Jackson St (sidewalks)	-122.322591	47.5732864	2/1/2016
Ballard Bridge north end	-122.3761447	47.6578901	2/2/2016
Ballard Commons Park (Sidewalk)	-122.3320708	47.6062095	2/2/2016
1525 11th Ave (old Value Village store)	-122.3320708	47.6062095	2/2/2016
15th Ave NW at NW 46th St (under Ballard Bridge)	-122.3761447	47.6578901	2/2/2016
Ballard Bridge south end	-122.3761447	47.6578901	2/2/2016
I-5 & Olive Way/Melrose	-122.3281382	47.6240543	2/3/2016
I-5 Colonnade Park	-122.3320708	47.6062095	2/3/2016
NE 50th St & 5th Ave NE	-122.2956376	47.664887	2/3/2016
I-5 & Pike St ramp	-122.3281382	47.6240543	2/4/2016
7200 W GREEN LAKE DR N	-122.3444192	47.681249	2/4/2016
Western Ave & Bell St	-122.3447254	47.6111419	2/5/2016
4th Ave & S  Royal Brougham Way	-122.3375861	47.6112087	2/5/2016
1300 Madison St	-122.3224629	47.6107772	2/5/2016
Under I-90 & S Dearborn	-122.3283527	47.5715487	2/9/2016
5th Ave NE & NE 50th St	-122.3231413	47.702651	2/9/2016
Arboretum	-122.2935063	47.6383411	2/9/2016
Japanese Garden	-122.2962936	47.6290005	2/9/2016
Green Lake	-122.3279676	47.6809842	2/9/2016
Carkeek Park	-122.3721688	47.7116232	2/9/2016
Under I-5 @ S Dearborn St	-122.3276378	47.5958642	2/12/2016
Green Lake - N 70th & Aurora Ave N	-122.3217639	47.6801838	2/13/2016
W Wheeler St & 15th Ave W	-122.3871665	47.6406166	2/16/2016
Ballard Bridge south end	-122.3761447	47.6578901	2/16/2016
Magnolia Bridge (under) at 1401 W Garfield St	-122.3754564	47.6332568	2/16/2016
Magnolia Bridge (under bridge)	-122.3320708	47.6062095	2/16/2016
Under Ballard Bridge 15th Ave NW and  Leary Way NW	-122.3641371	47.6583779	2/21/2016
Melrose Ave E & E Roy Street	-122.3278941	47.6219823	2/22/2016
Emerson Street Overpass (on Nickerson)	-122.3320708	47.6062095	2/22/2016
Greenwood Park	-122.350823	47.6929	2/22/2016
5th Ave NE & NE 55th St (at sound barrier wall)	-122.3231413	47.702651	2/22/2016
Franklin Pl E & E Howe St	-122.3240132	47.636254	2/22/2016
SOUTH SHIP CANAL TRAIL	-122.3640356	47.6524559	2/22/2016
Carkeek Park off Pipers Creek Trail	-122.3706769	47.7105974	2/22/2016
Gilman Playfield	-122.3320708	47.6062095	2/22/2016
Thornton Creek (Lake City Way & Fischer Pl NE)	-122.3016244	47.705735	2/23/2016
Victory Creek Park	-122.3163719	47.7085415	2/24/2016
5th Ave NE & NE 57th St (at sound barrier wall)	-122.3231413	47.702651	2/25/2016
Aurora 99 & Winslow Pl N	-122.3438711	47.6187956	2/25/2016
Burke Gilman Trail along the Canal Park	-122.3320708	47.6062095	2/25/2016
Burke-Gilman Trail 126 NW Canal St	-122.358899	47.65271	2/25/2016
Metro Bus stop Bench @ NW 85th St	-122.3778869	47.6906021	2/25/2016
8331 Dallas Ave S	-122.3178537	47.5282854	2/27/2016
6211 20th Ave NW	-122.3824157	47.6742862	2/29/2016
5210 18th Ave SW (Vacant Home)	-122.3320708	47.6062095	2/29/2016
Cascade Park	-122.3320708	47.6062095	2/29/2016
W Nickerson Overpass	-122.3694692	47.6534815	3/1/2016
14th Ave W. and W. Galer	-122.374624	47.6322548	3/1/2016
800 S Weller	-122.3221892	47.59769	3/1/2016
NW Leary Way Triangle	-122.3320708	47.6062095	3/1/2016
Discovery Park - NE corner cliff	-122.3320708	47.6062095	3/1/2016
Thornton Creek North green space	-122.3320708	47.6062095	3/1/2016
Ballard Locks Park Hillside	-122.3320708	47.6062095	3/2/2016
E Union & Broadway	-122.3062722	47.6129073	3/2/2016
Ingraham High School field	-122.3320708	47.6062095	3/2/2016
4th Ave S and S Royal Brougham Way sidewalk	-122.3320708	47.6062095	3/5/2016
Llandover Woods Greenspace	-122.3608311	47.7341069	3/7/2016
NE side of Green Lake	-122.2776075	47.711702	3/8/2016
Interurban Trail and N 122nd	-122.3320708	47.6062095	3/9/2016
9th Ave NW & NW 48th Street	-122.3683148	47.6920814	3/9/2016
7502 E Green Lake Dr N	-122.330648	47.682924	3/9/2016
4040 Delridge Way SW	-122.3632604	47.5670994	3/10/2016
7745 1st Ave S	-122.3369012	47.5333546	3/10/2016
Smith Cove Park	-122.387577	47.632605	3/10/2016
Salmon Bay Park	-122.3821345	47.6795414	3/14/2016
Ballard Library sidewalk on NW 57th St	-122.3847435	47.6701948	3/15/2016
I-5 NE 45th St Overpass (grass area)	-122.3320708	47.6062095	3/16/2016
I-5 Colonnade Park	-122.3320708	47.6062095	3/18/2016
Jackson Golf	-122.316737	47.726684	3/18/2016
Jackson Park Golf Course NE	-122.316737	47.726684	3/20/2016
Under BNSF Railroad Bridge @ NW 57th St	-122.3847435	47.6701948	3/20/2016
1405 NW 45TH ST	-122.3738472	47.6614419	3/22/2016
I-5 NB On-Ramp under Edgar Martinez overpass	-122.3290294	47.5902845	3/22/2016
3rd Ave S & S Royal Brougham Way	-122.3302817	47.6000453	3/22/2016
Green Lake  Park	-122.341132	47.68157	3/22/2016
6th Ave & Yesler Way, East Side	-122.330156	47.60625	3/23/2016
6th and Yesler	-122.3263696	47.6017197	3/23/2016
15th Ave NW at NW 46th St (under Ballard Bridge)	-122.3761447	47.6578901	3/23/2016
12th Ave S & S Dearborn St	-122.317655	47.5213164	3/24/2016
1st Ave So (Under on ramp to W. Seattle Bridge @ Spokane )	-122.3320708	47.6062095	3/24/2016
Franklin Ave E street end under I-5	-122.3320708	47.6062095	3/24/2016
1st Ave So (Under on ramp to W. Seattle Bridge @ Spokane )	-122.3320708	47.6062095	3/24/2016
78 S SPOKANE ST	-122.335448	47.571703	3/25/2016
3rd Ave S & S Royal Brougham Way	-122.3302817	47.6000453	3/28/2016
1401 NW Leary Way	-122.3742228	47.6633454	3/28/2016
Centennial Park	-122.3664186	47.6226119	3/28/2016
Grassy Area btw I-5 and Fence	-122.3320708	47.6062095	3/29/2016
Under AWV @ Blanchard St (SW Corner of World Trade Ctn Building)	-122.3320708	47.6062095	3/29/2016
Alaskan Way Viaduct & Pike St	-122.3376263	47.5894187	3/29/2016
9th Ave S & S Jackson St - Stairs	-122.3212757	47.5688823	3/29/2016
66 Bell St	-122.3478387	47.6126276	3/29/2016
109 Yesler Way	-122.3334301	47.6015417	3/29/2016
2211 Elliott Ave - Hwy 99 ramp	-122.3320708	47.6062095	3/29/2016
Ballard Locks Across from 3244 NW 54th St	-122.4002982	47.6676465	3/29/2016
Alaskan Way Viaduct & S Washington St	-122.3376263	47.5894187	3/29/2016
3rd Ave S & S Royal Brougham Way	-122.3302817	47.6000453	3/29/2016
Fairview Ave N & Denny Way (Behind Super Supplements)	-122.3343905	47.6250442	3/29/2016
Broad St & Elliott Ave	-122.350789	47.618246	3/29/2016
Alaskan Way Viaduct & Western Ave off ramp	-122.3376263	47.5894187	3/29/2016
Licton Springs Park (North End)	-122.3045446	47.6699473	3/29/2016
2100 S Atlantic St	-122.3045242	47.5895707	3/31/2016
Interlaken Park	-122.3084	47.6354698	3/31/2016
