City Feature,Common Name,Address,Website,Longitude,Latitude
Food Banks,Beacon Avenue Food Bank,6230 Beacon Ave S,,-122.300331,47.546769
Food Banks,Bo Da Dao Trang,3909 S Sunny View Dr,http://acrs.org/programs/nutrition.htm,-122.284441,47.515561
Food Banks,Central Area Motivation Program,722 18th Ave E,http://www.campseattle.org/Home/Food+Bank/default.aspx,-122.308541,47.625456
Food Banks,Emergency Feeding Program,2615 S Jackson St,http://www.emergencyfeeding.org/,-122.298464,47.599165
Food Banks,Indo-China Chinese Elderly Association,409 Maynard Ave S,http://acrs.org/programs/nutrition.htm,-122.325177,47.5991
Food Banks,Lake City Food Bank,12707 30th Ave NE,http://www.northhelpline.org/,-122.296462,47.721181
Food Banks,Phinney Ridge Food Bank,7500 Greenwood Ave N,http://www.prlc.org/foodbank.htm,-122.355178,47.683311
Food Banks,Salvation Army Food Bank,1101 Pike St,http://salvationarmynw.org/volunteer/foodbank.asp,-122.328816,47.613412
Food Banks,Seattle Indian Center,611 12th Ave S #300,http://www.seattleindiancenter.org/,-122.317349,47.597396
Food Banks,Tahanan Filipino Services,5740 M L King Jr Way S,http://www.filcomseattle.org/index.htm,-122.28778,47.550936
Food Banks,Volunteers Of America-Greenwood,9747 Greenwood Ave N,http://www.voaww.org/voa3f.cfm?SectionGroupsID=11&SectionListsID=11&PageID=234,-122.355521,47.699736
Food Banks,Spiritual Miracles Food Bank,7422 South 126th Street,http://www.seattle.gov/humanservices/emergencyservices/FoodBanksSeattleKingCounty.pdf,-122.24084,47.49142
Food Banks,Asian Counseling And Referral Services,720 8th Ave S,http://acrs.org/programs/nutrition.htm,-122.322334,47.596483
Food Banks,Ballard Food Bank,7005 24th Ave NW,http://www.ballardfoodbank.org,-122.387661,47.679582
Food Banks,Blessed Sacrament Food Bank,5050 8th Ave NE,http://www.blessed-sacrament.org/foodbank.html,-122.319416,47.665359
Food Banks,Cambodian Senior Club,9800 8th Ave SW,http://acrs.org/programs/nutrition.htm,-122.345149,47.515155
Food Banks,Cascade Immanuel Food Bank,1215 Thomas St,http://www.scn.org/frnf/immanuel.htm,-122.332595,47.620733
Food Banks,Chicken Soup Brigade,1002 E Seneca St,http://www.lifelongaidsalliance.org/csb,-122.319318,47.612259
Food Banks,Downtown Food Bank,1531 Western Ave 5th floor,http://www.pikemarketseniorcenter.org/,-122.341519,47.60863
Food Banks,El Centro De La Raza,2524 16th Ave S,http://www.elcentrodelaraza.com/programs/foodbank.htm,-122.31198,47.580786
Food Banks,Familyworks-Wallingford,1501 N 45th St,http://www.familyworksseattle.org/food_bank.htm,-122.339139,47.661302
Food Banks,Friendly Island Of Tonga Seniors,8319 8th Ave S,http://acrs.org/programs/nutrition.htm,-122.322996,47.528846
Food Banks,Jewish Family Service Food Bank,1601 16th Ave,http://www.jfsseattle.org/services/emergency.html,-122.311587,47.615313
Food Banks,Korean Senior Club Ii,153 14th Ave S,http://acrs.org/programs/nutrition.htm,-122.314268,47.601242
Food Banks,Northwest Community Services,4205 Rainier Ave S,,-122.288711,47.565566
Food Banks,Operational Emergency Center,11827 Renton Ave S,http://www.oecagency.org/services.php,-122.245348,47.496876
Food Banks,Providence Regina House,8201 10th Ave S,http://www.providence.org/washington/regina_house/default.htm,-122.320351,47.529771
Food Banks,Puget Sound Labor Agency,2800 1st Ave,http://pslaonline.org/PSLA%20Preview/Our%20Services.htm,-122.351499,47.616432
Food Banks,Salvation Army White Center,9050 16th Ave SW,http://salvationarmynw.org/volunteer/foodbank.asp,-122.354989,47.522378
Food Banks,Samoan Senior Club,8319 8th Ave S,http://acrs.org/programs/nutrition.htm,-122.322996,47.528846
Food Banks,Seattle Korean Elders Association,104 17th Ave,http://acrs.org/programs/nutrition.htm,-122.310136,47.601781
Food Banks,Society Of St. Vincent De Paul-Georgetown Service Center,5950 4th Ave S,http://www.stvincentdepaul-seattle.org/index.html,-122.329456,47.549814
Food Banks,The Food Bank At St. Marys,611 20th Ave,http://www.seniorservices.org/online/detail.asp?id=3249&case=1,-122.306445,47.60728
Food Banks,University District Service League,4731 15th Ave NE,http://www.udistrictfoodbank.org/,-122.312083,47.66331
Food Banks,Vietnamese Friendship Association,1017 S Jackson St,http://acrs.org/programs/nutrition.htm,-122.31938,47.599102
Food Banks,West Seattle Food Bank,3518 SW Genesee St.,http://www.westseattlefoodbank.org/,-122.376998,47.564761
