"","PMAID","Name","Alt_Name","xPos","yPos","Feature_ID","hours","Feature_Desc","CHILD_DESC","FIELD_TYPE","YOUTH_ONLY","LIGHTING","Location.1"
"31",446,"Alki Playground","Whale Tail Play Area",-122.4073123,47.57849726,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"5817 SW Lander St
(-122.4073123, 47.57849726)"
"95",440,"Beer Sheva Park","",-122.263223,47.524191,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"8650 55th Ave S
(-122.263223, 47.524191)"
"149",401,"Bradner Gardens Park","",-122.295426,47.587419,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"1730 Bradner Pl S
(-122.295426, 47.587419)"
"150",401,"Bradner Gardens Park","",-122.295426,47.587419,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"1730 Bradner Pl S
(-122.295426, 47.587419)"
"159",402,"Brighton Playfield","",-122.2820996,47.54838735,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"6000 39th Ave S
(-122.2820996, 47.54838735)"
"171",496,"Burke-Gilman Playground Park","",-122.282623,47.66663386,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"5201 Sand Point Way NE
(-122.282623, 47.66663386)"
"172",496,"Burke-Gilman Playground Park","",-122.282623,47.66663386,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"5201 Sand Point Way NE
(-122.282623, 47.66663386)"
"185",3102,"Cal Anderson Park and Bobby Morris Playfield","",-122.319134,47.617013,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"1635 11th Ave
(-122.319134, 47.617013)"
"211",240,"Carkeek Park","",-122.379763,47.712194,27,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.","Restrooms","","",FALSE,FALSE,"950 NW Carkeek Park Rd
(-122.379763, 47.712194)"
"212",240,"Carkeek Park","",-122.379763,47.712194,40,"<b>Park Hours:</b> 6 a.m.-10 p.m.<BR>
<b>Environmental Learning Center Hours:</b> Weekdays 10 a.m. - 4 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"950 NW Carkeek Park Rd
(-122.379763, 47.712194)"
"249",406,"Colman Playground","",-122.301957,47.58762538,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"1740 23rd Ave S
(-122.301957, 47.58762538)"
"289",499,"Dahl Playfield","Waldo J. Dahl Playfield",-122.299309,47.685267,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"7700 25th Ave NE
(-122.299309, 47.685267)"
"297",331,"David Rodgers Park","Rodgers Park",-122.359484,47.644135,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"2800 1st Ave W
(-122.359484, 47.644135)"
"345",310,"Discovery Park","",-122.415282,47.66083,27,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>","Restrooms","","",FALSE,FALSE,"3801 Discovery Park Blvd
(-122.415282, 47.66083)"
"346",310,"Discovery Park","",-122.415282,47.66083,40,"<b>Park Hours:</b> Daily 4 a.m. - 11:30 p.m.<br>
<b>Visitor Center Hours:</b> Tuesday-Sunday
8:30 a.m. - 5 p.m.<br>
<i>Closed holidays</i>","Restrooms (ADA Compliant)","","",FALSE,FALSE,"3801 Discovery Park Blvd
(-122.415282, 47.66083)"
"373",433,"Dr. Jose Rizal Park","Jose Rizal Park",-122.318094,47.593859,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"1007 12th Ave S
(-122.318094, 47.593859)"
"411",452,"Fairmount Playfield","",-122.3805489,47.55404081,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"5400 Fauntleroy Way SW
(-122.3805489, 47.55404081)"
"449",353,"Garfield Playfield","",-122.3014119,47.6070978,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"537 25th Ave
(-122.3014119, 47.6070978)"
"450",353,"Garfield Playfield","",-122.3014119,47.6070978,40,"6 a.m. - 10 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"537 25th Ave
(-122.3014119, 47.6070978)"
"473",409,"Genesee Park and Playfield","",-122.278744,47.564856,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"4316 S Genesee St
(-122.278744, 47.564856)"
"474",409,"Genesee Park and Playfield","",-122.278744,47.564856,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"4316 S Genesee St
(-122.278744, 47.564856)"
"507",243,"Golden Gardens Park","",-122.403454,47.686852,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"8498 Seaview Pl NW
(-122.403454, 47.686852)"
"508",243,"Golden Gardens Park","",-122.403454,47.686852,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"8498 Seaview Pl NW
(-122.403454, 47.686852)"
"531",307,"Green Lake Park","",-122.330394,47.678938,27,"24 Hours","Restrooms","","",FALSE,FALSE,"7201 E Greenlake Dr N
(-122.330394, 47.678938)"
"532",307,"Green Lake Park","",-122.330394,47.678938,40,"24 Hours","Restrooms (ADA Compliant)","","",FALSE,FALSE,"7201 E Greenlake Dr N
(-122.330394, 47.678938)"
"573",457,"Highland Park Playground","",-122.349034,47.52737972,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"1100 SW Cloverdale St
(-122.349034, 47.52737972)"
"607",3887,"Interbay Athletic Complex","",-122.3791913,47.64723939,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"3027 17th Ave W
(-122.3791913, 47.64723939)"
"608",3887,"Interbay Athletic Complex","",-122.3791913,47.64723939,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"3027 17th Ave W
(-122.3791913, 47.64723939)"
"649",429,"John C. Little, Sr. Park","",-122.286686,47.539048,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"6961 37th Ave S
(-122.286686, 47.539048)"
"721",3972,"Lakeridge Playfield","",-122.246841,47.510319,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"10145 Rainier Ave S
(-122.246841, 47.510319)"
"722",3972,"Lakeridge Playfield","",-122.246841,47.510319,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"10145 Rainier Ave S
(-122.246841, 47.510319)"
"753",367,"Leschi Park","",-122.286548,47.600931,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"201 Lakeside Ave. S
(-122.286548, 47.600931)"
"827",370,"Madrona Park","",-122.282679,47.609299,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"853 Lake Washington Blvd
(-122.282679, 47.609299)"
"837",371,"Madrona Playground","",-122.2898852,47.61102165,27,"6 a.m. - 10 p.m.","Restrooms","","",FALSE,FALSE,"3211 E Spring St
(-122.2898852, 47.61102165)"
"849",317,"Magnolia Park","",-122.398993,47.632366,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"1461 Magnolia Blvd W
(-122.398993, 47.632366)"
"865",319,"Magnolia Playfield","",-122.3994722,47.64374582,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"2518 34th Ave W
(-122.3994722, 47.64374582)"
"866",319,"Magnolia Playfield","",-122.3994722,47.64374582,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"2518 34th Ave W
(-122.3994722, 47.64374582)"
"881",3881,"Maple Leaf Resevoir Park","",-122.3156129,47.6890145,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"1020 NE 82nd St
(-122.3156129, 47.6890145)"
"882",3881,"Maple Leaf Resevoir Park","",-122.3156129,47.6890145,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"1020 NE 82nd St
(-122.3156129, 47.6890145)"
"893",418,"Maple Wood Playfield","",-122.3188451,47.56004088,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"4801 Corson Ave S
(-122.3188451, 47.56004088)"
"894",418,"Maple Wood Playfield","",-122.3188451,47.56004088,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"4801 Corson Ave S
(-122.3188451, 47.56004088)"
"927",352,"Meadowbrook Playfield","Annie's Playground",-122.2934929,47.70577111,27,"4 a.m. - 11:30 p.m.","Restrooms","","",FALSE,FALSE,"10533 35th Ave NE
(-122.2934929, 47.70577111)"
"928",352,"Meadowbrook Playfield","Annie's Playground",-122.2934929,47.70577111,40,"4 a.m. - 11:30 p.m.","Restrooms (ADA Compliant)","","",FALSE,FALSE,"10533 35th Ave NE
(-122.2934929, 47.70577111)"
