date,temp_high,temp_avg,temp_low,humidity_high,humidity_avg,humidity_low,wind_avg,wind_low,wind_high,precip,event
1/1/2016,44,34,25,92,76,43,5,1,-,0,
1/2/2016,44,34,23,96,73,33,8,2,-,0,
1/3/2016,39,34,28,87,67,35,14,4,-,0.01,"Rain , Snow"
1/4/2016,39,38,37,87,83,76,8,1,-,0.07,Rain
1/5/2016,44,40,37,100,73,63,5,1,-,0.11,Rain
1/6/2016,51,43,35,100,90,66,7,1,-,0,
1/7/2016,45,38,32,100,93,81,6,2,-,0,Fog
1/8/2016,48,39,30,100,93,74,7,1,-,0,Fog
1/9/2016,48,39,30,100,92,66,6,1,-,0,Fog
1/10/2016,51,43,32,93,69,50,8,2,-,0,
1/11/2016,45,38,30,100,85,65,10,3,-,0.09,Rain
1/12/2016,48,42,37,96,88,77,16,5,26,0.52,Rain
1/13/2016,55,48,42,100,89,74,22,8,30,0.57,Rain
1/14/2016,48,42,35,97,85,68,9,5,-,0,
1/15/2016,48,40,32,100,92,86,7,4,-,0.04,"Rain , Snow"
1/16/2016,53,48,43,100,89,83,15,5,26,0.41,Rain
1/17/2016,50,46,42,97,91,82,13,5,-,0.32,Rain
1/18/2016,54,48,42,100,81,59,15,5,22,0.05,Rain
1/19/2016,46,44,41,97,89,76,10,3,-,0.46,Rain
1/20/2016,52,46,41,100,84,63,10,5,-,0.2,Rain
1/21/2016,51,48,45,100,95,86,8,3,-,1.27,Rain
1/22/2016,55,50,46,97,85,67,17,8,25,0.27,Rain
1/23/2016,46,45,44,100,94,79,8,2,-,0.53,Rain
1/24/2016,50,44,37,100,82,61,8,5,-,0,
1/25/2016,54,45,36,97,81,59,6,2,-,0,
1/26/2016,55,50,46,100,91,66,12,4,-,0.27,Rain
1/27/2016,57,54,50,100,94,87,10,5,-,0.8,Rain
1/28/2016,55,50,46,100,86,64,13,9,23,0.52,Rain
1/29/2016,50,47,44,93,80,68,20,6,28,0.18,Rain
1/30/2016,46,42,39,93,81,68,15,9,21,0.02,Rain
1/31/2016,46,42,37,89,80,71,12,7,17,0,
2/1/2016,45,41,37,97,88,74,9,5,-,0.25,Rain
2/2/2016,50,42,35,100,82,48,8,2,-,0.02,"Fog , Rain"
2/3/2016,48,44,41,97,83,59,16,6,23,0.48,Rain
2/4/2016,48,46,45,93,87,80,16,10,25,0.05,Rain
2/5/2016,53,48,42,100,84,64,21,5,32,0.15,Rain
2/6/2016,48,42,36,100,82,71,16,9,22,0,
2/7/2016,50,43,36,100,84,61,9,2,-,0,
2/8/2016,57,48,39,97,81,59,8,2,-,0,
2/9/2016,62,50,39,100,83,55,10,2,-,0,Fog
2/10/2016,55,50,44,100,81,63,10,5,23,0.16,Rain
