date	death_boolean	wind_chill	wind_chill_boolean	precip	precip_boolean	extreme_weather
1/1/2016	0	18.8540226146	1	0	0	0
1/2/2016	0	13.8862310274	1	0	0	0
1/3/2016	0	16.8682599819	1	0.01	0	0
1/4/2016	0	30.9347718705	1	0.07	0	0
1/5/2016	0	32.9487284096	0	0.11	0	0
1/6/2016	0	29.1121368291	1	0	0	0
1/7/2016	0	26.2307616769	1	0	0	0
1/8/2016	0	23.0863914279	1	0	0	0
1/9/2016	0	23.8489017418	1	0	0	0
1/10/2016	1	24.8460072836	1	0	0	0
1/11/2016	0	21.2482932556	1	0.09	0	0
1/12/2016	0	27.6741040318	1	0.52	1	1
1/13/2016	0	32.6629775779	0	0.57	1	0
1/14/2016	0	27.9476993662	1	0	0	0
1/15/2016	0	25.4966895884	1	0.04	0	0
1/16/2016	0	35.6782505463	0	0.41	1	0
1/17/2016	0	35.0186671928	0	0.32	1	0
1/18/2016	1	34.3974085776	0	0.05	0	0
1/19/2016	0	34.8819737776	0	0.46	1	0
1/20/2016	0	34.8819737776	0	0.2	0	0
1/21/2016	0	40.6767952094	0	1.27	1	0
1/22/2016	1	39.0189564368	0	0.27	1	0
1/23/2016	0	39.459042292	0	0.53	1	0
1/24/2016	0	30.9347718705	1	0	0	0
1/25/2016	1	30.9944815469	1	0	0	0
1/26/2016	0	40.3908786291	0	0.27	1	0
1/27/2016	1	46.0368032955	0	0.8	1	0
1/28/2016	0	40.0823355884	0	0.52	1	0
1/29/2016	0	35.7283867758	0	0.18	0	0
1/30/2016	1	30.5548826715	1	0.02	0	0
1/31/2016	0	29.0714276204	1	0	0	0
2/1/2016	0	30.4058914067	1	0.25	0	0
2/2/2016	0	28.4992660357	1	0.02	0	0
2/3/2016	0	32.8248468943	0	0.48	1	0
2/4/2016	0	37.9755897567	0	0.05	0	0
2/5/2016	0	32.8793640905	0	0.15	0	0
2/6/2016	0	26.3864183162	1	0	0	0
2/7/2016	0	29.1767953864	1	0	0	0
2/8/2016	1	33.3702777052	0	0	0	0
2/9/2016	0	32.4031227736	0	0	0	0
2/10/2016	0	38.6002502836	0	0.16	0	0
2/11/2016	0	39.459042292	0	0.37	1	0
2/12/2016	0	41.6073146741	0	0.86	1	0
2/13/2016	0	39.5207764524	0	0.36	1	0
2/14/2016	0	49.7123676041	0	0	0	0
2/15/2016	0	46.411921083	0	0.12	0	0
2/16/2016	1	45.1460039841	0	0.01	0	0
2/17/2016	0	43.9259476294	0	0.46	1	0
2/18/2016	1	39.2632754723	0	0.12	0	0
2/19/2016	1	34.3974085776	0	0.49	1	0
2/20/2016	0	28.6890816982	1	0	0	0
2/21/2016	1	24.5098816449	1	0.07	0	0
2/22/2016	0	34.8819737776	0	0.01	0	0
2/23/2016	0	28.6890816982	1	0	0	0
2/24/2016	1	40.5219212871	0	0.02	0	0
2/25/2016	0	33.9327331501	0	0	0	0
2/26/2016	0	36.5513715079	0	0.15	0	0
2/27/2016	0	41.0791012876	0	0.08	0	0
2/28/2016	0	36.6879040411	0	0.68	1	0
2/29/2016	0	38.6002502836	0	0.12	0	0
3/1/2016	0	36.4372396374	0	0.71	1	0
3/2/2016	0	38.3521872071	0	0.27	1	0
3/3/2016	0	41.8386469035	0	0.03	0	0
3/4/2016	1	32.8640834472	0	0.21	0	0
3/5/2016	0	41.3871440963	0	0.2	0	0
3/6/2016	0	38.5195213604	0	0.39	1	0
3/7/2016	0	32.2846295663	0	0.26	1	0
3/8/2016	0	32.8640834472	0	0.03	0	0
3/9/2016	0	35.4002183255	0	0.97	1	0
3/10/2016	0	28.695449831	1	0.32	1	1
3/11/2016	0	29.7170189531	1	0.35	1	1
3/12/2016	0	29.6839111292	1	0.2	0	0
3/13/2016	0	29.9900866301	1	0.52	1	1
3/14/2016	1	33.1165666089	0	0.06	0	0
3/15/2016	0	34.1022947354	0	0	0	0
