Date,T high (f),T avg,T low,D high (f),D avg,D low,Humid high (%),H avg,H low,wind high (mph),wind avg,high,sum precip (in),event
1/1/2013,43,36,28,32,28,25,89,77,58,5,1,-,0,
1/2/2013,46,37,28,29,24,18,89,64,41,10,2,-,0,
1/3/2013,46,36,27,35,24,19,89,62,37,12,3,-,0.18,Rain
1/4/2013,53,45,37,43,39,34,93,81,62,12,5,-,0.07,Rain
1/5/2013,46,44,42,40,35,32,92,72,63,13,3,18,0.1,Rain
1/6/2013,46,42,39,40,38,37,89,81,68,10,7,-,0.03,Rain
1/7/2013,52,46,41,46,43,39,93,79,71,22,11,37,0.02,Rain
1/8/2013,55,48,42,48,43,39,93,82,71,21,9,36,0.53,Rain
1/9/2013,51,44,37,47,38,33,89,82,73,15,10,26,1.15,Rain
1/10/2013,39,34,30,34,32,29,93,82,73,7,3,-,0,"Fog , Rain"
1/11/2013,37,32,28,30,26,20,93,81,48,7,3,-,0,Fog
1/12/2013,39,32,26,29,24,21,88,77,49,9,1,-,0,
1/13/2013,37,30,24,25,22,19,85,73,51,6,3,-,0,
1/14/2013,39,34,30,30,27,24,79,73,60,9,4,-,0,
1/15/2013,45,40,34,32,30,28,85,72,55,6,1,-,0,
1/16/2013,44,36,28,33,30,25,93,83,60,6,2,-,0,Fog
1/17/2013,37,32,28,34,31,25,100,90,83,6,1,-,0,Fog
1/18/2013,39,36,33,36,33,31,96,91,83,6,2,-,0,Fog
1/19/2013,37,35,33,34,32,30,93,88,81,6,2,-,0,Fog
1/20/2013,41,37,33,35,32,30,96,88,79,6,1,-,0,Fog
1/21/2013,37,34,32,34,32,29,93,90,82,7,3,-,0,Fog
1/22/2013,39,34,30,34,32,29,92,85,73,7,1,-,0,Fog
1/23/2013,45,41,37,39,36,30,87,75,56,13,5,16,0.21,Rain
1/24/2013,46,42,37,40,37,33,89,79,59,8,5,-,0.16,Rain
1/25/2013,53,48,39,43,41,36,93,81,62,8,5,-,0.09,Rain
1/26/2013,48,44,41,39,37,36,89,78,63,14,8,22,0.16,Rain
1/27/2013,44,42,41,38,37,35,89,79,73,12,5,22,0.01,Rain
1/28/2013,45,42,39,40,38,36,89,84,76,9,6,-,0.21,Rain
1/29/2013,48,46,43,45,43,40,90,86,77,12,7,22,0.29,Rain
1/30/2013,50,48,46,47,45,43,93,89,83,10,7,-,0.06,Rain
1/31/2013,52,49,46,46,44,43,93,84,74,12,6,23,0.08,Rain
2/1/2013,51,48,44,45,43,39,93,83,71,7,2,-,0,
2/2/2013,44,42,39,40,38,37,93,86,79,9,4,-,0,Fog
2/3/2013,50,44,39,43,39,36,93,84,71,10,7,-,0.08,Rain
